,Lat,Long,Country/Region
0,9.145,40.4897,Ethiopia
1,64.0,26.0,Finland
2,10.09195,-25.45605,France
3,3.9339,-53.1258,French Guiana
4,-0.8037,11.6094,Gabon
5,42.3154,43.3569,Georgia
6,51.0,9.0,Germany
7,7.9465,-1.0232,Ghana
8,39.0742,21.8243,Greece
9,71.7069,-42.6043,Greenland
10,16.265,-61.551,Guadeloupe
11,13.4443,144.7937,Guam
12,15.7835,-90.2308,Guatemala
13,49.45,-2.58,Guernsey
14,9.9456,-9.6966,Guinea
15,5.0,-58.75,Guyana
16,15.2,-86.2419,Honduras
17,47.1625,19.5033,Hungary
18,64.9631,-19.0208,Iceland
19,21.0,78.0,India
20,-0.7893,113.9213,Indonesia
21,32.0,53.0,Iran
22,33.0,44.0,Iraq
23,53.1424,-7.6921,Ireland
24,31.0,35.0,Israel
25,43.0,12.0,Italy
26,18.1096,-77.2975,Jamaica
27,36.0,138.0,Japan
28,49.19,-2.11,Jersey
29,31.24,36.51,Jordan
30,48.0196,66.9237,Kazakhstan
31,-0.0236,37.9062,Kenya
32,29.5,47.75,Kuwait
33,41.2044,74.7661,Kyrgyzstan
34,56.8796,24.6032,Latvia
35,33.8547,35.8623,Lebanon
36,6.4281,-9.4295,Liberia
37,47.14,9.55,Liechtenstein
38,55.1694,23.8813,Lithuania
39,49.8153,6.1296,Luxembourg
40,2.5,112.5,Malaysia
41,35.9375,14.3754,Malta
42,14.6415,-61.0242,Martinique
43,21.0079,10.9408,Mauritania
44,-20.2,57.5,Mauritius
45,-12.8275,45.1662,Mayotte
46,23.6345,-102.5528,Mexico
47,47.4116,28.3699,Moldova
48,43.7333,7.4167,Monaco
49,46.8625,103.8467,Mongolia
50,42.5,19.3,Montenegro
51,31.7917,-7.0926,Morocco
52,-22.9576,18.4904,Namibia
53,28.1667,84.25,Nepal
54,12.5186,-68.99,Netherlands
55,-40.9006,174.886,New Zealand
56,9.082,8.6753,Nigeria
57,60.472,8.4689,Norway
58,21.0,57.0,Oman
59,30.3753,69.3451,Pakistan
60,8.538,-80.7821,Panama
61,-23.4425,-58.4438,Paraguay
62,-9.19,-75.0152,Peru
63,13.0,122.0,Philippines
64,51.9194,19.1451,Poland
65,39.3999,-8.2245,Portugal
66,18.2,-66.5,Puerto Rico
67,25.3548,51.1839,Qatar
68,-21.1151,55.5364,Reunion
69,45.9432,24.9668,Romania
70,60.0,90.0,Russia
71,-1.9403,29.8739,Rwanda
72,13.9094,-60.9789,Saint Lucia
73,12.9843,-61.2872,Saint Vincent and the Grenadines
74,43.9424,12.4578,San Marino
75,24.0,45.0,Saudi Arabia
76,14.4974,-14.4524,Senegal
77,44.0165,21.0059,Serbia
78,-4.6796,55.492,Seychelles
79,1.2833,103.8333,Singapore
80,48.669,19.699,Slovakia
81,46.1512,14.9955,Slovenia
82,5.1521,46.1996,Somalia
83,-30.5595,22.9375,South Africa
84,40.0,-4.0,Spain
85,7.0,81.0,Sri Lanka
86,12.8628,30.2176,Sudan
87,3.9193,-56.0278,Suriname
88,63.0,16.0,Sweden
89,46.8182,8.2275,Switzerland
90,-6.369,34.8888,Tanzania
91,15.0,101.0,Thailand
92,8.6195,0.8248,Togo
93,10.6918,-61.2225,Trinidad and Tobago
94,34.0,9.0,Tunisia
95,38.9637,35.2433,Turkey
96,48.3794,31.1656,Ukraine
97,24.0,54.0,United Arab Emirates
98,36.1408,-5.3536,United Kingdom
99,-32.5228,-55.7658,Uruguay
100,41.3775,64.5853,Uzbekistan
101,6.4238,-66.5897,Venezuela
102,16.0,108.0,Vietnam
103,-15.4167,28.2833,Zambia
